planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
TOI-1451 b,TOI-1451,Transit,0.127,2.61143902,15.2,0.0,1.0022,91.9362,9.584
TOI-1452 b,TOI-1452,Transit,0.061,1.672,4.82,0.0,0.249,30.5212,14.354
TOI-1470 b,TOI-1470,Transit,0.0285,2.18,7.32,0.3,0.471,51.9503,13.459
TOI-1470 c,TOI-1470,Transit,0.106,2.47,7.24,0.5,0.471,51.9503,13.459
TOI-1472 b,TOI-1472,Transit,0.065,4.15964583,16.5,0.0,0.9154,121.84,11.302
TOI-150.01,TOI-150,Transit,0.07037,14.067295,797.7533,0.262,1.351,336.267,11.39
TOI-157 b,TOI-157,Transit,0.03138,14.414774,375.0394,0.0,0.948,355.683,12.725
TOI-1601 b,TOI-1601,Transit,0.069,14.19902343,387.0,0.0,1.5055,336.608,10.66
TOI-163 b,TOI-163,Transit,0.058,16.690201,387.7526,0.0,1.4352,411.719,11.467
TOI-1669 c,TOI-1669,Transit,0.0376,2.2963977,13.0,0.0,0.9867,111.276,10.218
TOI-1670 b,TOI-1670,Transit,0.103,2.06,41.31769291,0.59,1.21,168.067,9.889
TOI-1670 c,TOI-1670,Transit,0.249,11.06326395,200.23189641,0.09,1.21,168.067,9.889
TOI-1685 b,TOI-1685,Transit,0.01138,1.468,3.03,0.0,0.454,37.6153,13.378
TOI-169 b,TOI-169,Transit,0.03524,12.172974,251.40353,0.0,1.147,407.84,12.355
TOI-1694 b,TOI-1694,Transit,0.045,5.3422266,31.3,0.0,0.853,124.68,11.446
TOI-1695 b,TOI-1695,Transit,0.033548,1.9,6.36,0.097,0.513,45.1309,12.989
TOI-1710 b,TOI-1710,Transit,0.166,5.20315158,22.4,0.0,1.0258,81.2271,9.545
TOI-172 b,TOI-172,Transit,0.0914,10.816685,1722.6386,0.3806,1.128,342.831,11.299
TOI-1728 b,TOI-1728,Transit,0.0391,5.05,26.78,0.057,0.646,60.798,12.39
TOI-1736 b,TOI-1736,Transit,0.073,3.18175535,12.3,0.0,1.0373,88.9482,8.953
TOI-1742 b,TOI-1742,Transit,0.154,2.36507598,9.7,0.3,1.0861,72.8871,8.863
TOI-1749 b,TOI-1749,Transit,0.0291,1.39,57.0,0.14,0.58,99.5561,13.86
TOI-1749 c,TOI-1749,Transit,0.0443,2.12,14.0,0.019,0.58,99.5561,13.86
TOI-1749 d,TOI-1749,Transit,0.0707,2.52,15.0,0.062,0.58,99.5561,13.86
TOI-1751 b,TOI-1751,Transit,0.215,2.9507845,19.5,0.327,0.9382,113.335,9.327
TOI-1753 b,TOI-1753,Transit,0.059,2.47852533,16.6,0.0,0.9483,226.671,11.831
TOI-1759 b,TOI-1759,Transit,0.1177,3.14,10.8,0.0,0.606,40.0654,11.93
TOI-1775 b,TOI-1775,Transit,0.08,8.04728896,96.0,0.0,0.9218,149.234,11.648
TOI-1776 b,TOI-1776,Transit,0.0378,1.21612741,1.4,0.0,0.9196,44.647,8.26
TOI-1794 b,TOI-1794,Transit,0.082,3.29701268,8.7,0.0,0.9698,155.791,10.32
TOI-1807 b,TOI-1807,Transit,0.0122,1.49681583,2.44,0.0,0.8048,42.5775,10.0
TOI-181 b,TOI-181,Transit,0.0539,6.9559,46.1687,0.1543,0.822,96.2338,11.191
TOI-1811 b,TOI-1811,Transit,0.04389,11.14172682,308.9292116,0.052,0.817,128.23,11.966
TOI-1820 b,TOI-1820,Transit,0.061,12.778238,731.0053361,0.043,1.04,248.504,10.899
TOI-1823 b,TOI-1823,Transit,0.212,7.5406241,67.4,0.0,0.8414,71.6456,10.728
TOI-1824 b,TOI-1824,Transit,0.151,2.7438269,16.0,0.0,0.8801,59.4314,9.721
TOI-1836 b,TOI-1836,Transit,0.1597,8.00321222,38.45723725,0.0,1.307,191.649,9.765
TOI-1836 c,TOI-1836,Transit,0.03089,2.59987579,8.0,0.0,1.2518,191.649,9.765
TOI-1842 b,TOI-1842,Transit,0.1,12.3485023,89.4,0.276,1.4643,223.465,9.815
TOI-1853 b,TOI-1853,Transit,0.0213,3.46,73.2,0.03,0.837,165.105,12.178
TOI-1855 b,TOI-1855,Transit,0.02398,18.49481816,360.09958513,0.033,0.987,176.833,11.197
